Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
1998-010,(2) Predevelopment Feasibility,Ambassador Hotel,55,Mason,St,94102,0340,001,6,Tenderloin,Downtown/Civic Center,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,2021-06-01T00:00:00.000,,,2021-06-01T00:00:00.000,2022-07-01T00:00:00.000,Tenderloin Neighborhood Development Corporation,,Tenderloin Neighborhood Development Corporation,2020-000966PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2020-000966PRJ'},,,,134,134,0,100,134,0,0,0,0,0,0,0,0,,134,0,0,0,0,0,0,0,0,0,23,111,0,0,0,0,0,0,0,0,0,0,37.783990000000,-122.409310000000,"{'latitude': '37.78399', 'longitude': '-122.40931', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-044,(5) First Construction Document Issued,654 Capp,654,Capp,St,94110,3615,038,9,Mission,Mission,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2018-05-30T00:00:00.000,2019-01-01T00:00:00.000,,,2019-01-01T00:00:00.000,2021-02-28T00:00:00.000,Mission Economic Development Agency,,"MEDA Small Properties, LLC",2019-001748PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2019-001748PRJ'},,,,7,7,0,100,0,1,6,0,0,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,37.756250218000,-122.417452874999,"{'latitude': '37.756250218', 'longitude': '-122.417452874999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-032,(4) Site Work Permit Issued,986 South Van Ness,986,South Van Ness,Ave,94110,3610,010,9,Mission,Mission,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,2020-12-14T00:00:00.000,,2021-06-14T00:00:00.000,2023-08-08T00:00:00.000,986 South Van Ness LLC,,,2018-012918PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2018-012918PRJ'},,2020-08-23T00:00:00.000,On-site BMR Project,15,2,13,13.00,0,0,1,1,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,37.757420000000,-122.417050000000,"{'latitude': '37.75742', 'longitude': '-122.41705', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-028,(3) Design with Entitlements Approved,888 Tennessee,888,Tennessee,St,94107,4060,001,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,,,2019-10-18T00:00:00.000,2021-12-11T00:00:00.000,"Reuben, Junius & Rose, LLP",,,2013.0975,{'url': 'http://propertymap.sfplanning.org/?search=2013.0975'},"2013.0975COA,2013.0975E,2013.0975ENX,2013.0975SHD,2013.0975TDM,2013.0975U",2017-10-19T00:00:00.000,On-site BMR Project,110,17,93,15.00,0,3,7,6,1,0,0,0,0,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,37.760766264000,-122.389984666999,"{'latitude': '37.760766264', 'longitude': '-122.389984666999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-052b,(2) Predevelopment Feasibility,SFHA Scattered Sites - Great Hwy,2206-2268,Great,Hwy,94116,2301,6,4,Sunset/Parkside,Parkside,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,2021-10-01T00:00:00.000,,,2021-10-01T00:00:00.000,2023-01-15T00:00:00.000,Mission Housing Development Corporation,,San Francisco Housing Authority until transfer to MHDC affiliated L.P.,Not Applicable,,,,,16,15,1,94.00,0,0,0,6,9,0,0,0,1,3bd,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,37.745020000000,-122.507220000000,"{'latitude': '37.74502', 'longitude': '-122.50722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-003,(6) Complete,520 Shrader,520,Shrader,St,94117,1229,017,5,Haight Ashbury,Haight Ashbury,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2019-05-30T00:00:00.000,2019-07-01T00:00:00.000,,,2019-07-01T00:00:00.000,2020-01-30T00:00:00.000,San Francisco Housing Development Corporation,Mission Economic Development Agency,"SFHDC Small Sites, LLC",Not Applicable,,,,,7,7,0,100,0,0,7,0,0,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,37.769952253000,-122.451675745999,"{'latitude': '37.769952253', 'longitude': '-122.451675745999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2009-006,(5) First Construction Document Issued,2060 Folsom (17th and Folsom),2060,Folsom,St,94110,3571,031,9,Mission,Mission,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2018-12-27T00:00:00.000,2017-11-08T00:00:00.000,2018-12-28T00:00:00.000,2018-12-28T00:00:00.000,2021-03-15T00:00:00.000,Chinatown Community Development Center,Mission Economic Development Agency,"2060 Folsom Housing, LP",2016-011542PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-011542PRJ'},"2015-014715ENV,2015-014715PCA,2015-014715PPA,2015-014715SHD",2017-04-18T00:00:00.000,,127,126,1,99.00,0,22,15,47,42,0,0,13,1,2bd,97,0,29,29,0,29,0,0,0,0,29,0,97,0,0,0,0,0,0,0,0,0,37.764271262000,-122.415742567999,"{'latitude': '37.764271262', 'longitude': '-122.415742567999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-001,(4) Site Work Permit Issued,3230-3236 24th St,3230,24th,St,94110,3642,096,9,Mission,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2020-02-25T00:00:00.000,,2020-08-25T00:00:00.000,2022-10-19T00:00:00.000,Weisbach Architecture + Design,,Joseph & Dominic Galu,2016-014062PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-014062PRJ'},,2020-01-02T00:00:00.000,Fee Payment,17,0,17,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.752500000000,-122.417030000000,"{'latitude': '37.7525', 'longitude': '-122.41703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-048,(4) Site Work Permit Issued,1924 Mission,1924,Mission,St,94103,3554,003A,9,Mission,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2019-08-22T00:00:00.000,,2020-02-20T00:00:00.000,2022-04-15T00:00:00.000,"Sahm Bros, LLC",,,2014.0449,{'url': 'http://propertymap.sfplanning.org/?search=2014.0449'},,2018-03-27T00:00:00.000,On-site BMR Project,11,1,10,9.00,0,0,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37.793741000000,-122.392568000000,"{'latitude': '37.793741', 'longitude': '-122.392568', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-071,(5) First Construction Document Issued,1990 Folsom (Casa Adelante),1990,Folsom,St,94103,3552,012,9,Mission,Mission,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2019-03-04T00:00:00.000,2018-08-31T00:00:00.000,2019-03-15T00:00:00.000,2019-03-15T00:00:00.000,2021-06-01T00:00:00.000,Tenderloin Neighborhood Development Corporation,Mission Economic Development Agency,"1990 Folsom Housing Associates, L.P.",2018-009935PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2018-009935PRJ'},,2018-01-25T00:00:00.000,,143,142,1,99.00,0,23,48,60,11,0,0,40,1,2bd,142,0,0,0,0,0,29,0,0,15,72,0,28,27,0,0,0,0,0,0,0,0,37.765552369000,-122.415898802999,"{'latitude': '37.765552369', 'longitude': '-122.415898802999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-066,(1) Preliminary Phase,967 Mission (Land Dedication Site),967,Mission,St,94103,3725,086,6,South of Market,South of Market,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,,,,,,Developer not yet selected,,Developer not yet selected,Not Yet Available,,,,,97,96,1,99.00,0,0,0,0,0,0,0,0,0,,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,37.781291036000,-122.407698663999,"{'latitude': '37.781291036', 'longitude': '-122.407698663999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-035,(5) First Construction Document Issued,75 Howard,75,Howard,St,94105,3741,045,6,Financial District/South Beach,Financial District,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2017-10-25T00:00:00.000,2018-10-09T00:00:00.000,2018-10-09T00:00:00.000,2020-12-02T00:00:00.000,RDF 75 Howard LP,,,2011.1122,{'url': 'http://propertymap.sfplanning.org/?search=2011.1122'},"2011.1122CND,2011.1122CUA,2011.1122E,2011.1122E_3,2011.1122K,2011.1122PPA,2011.1122R,2011.1122U,2011.1122V,2011.1122X,2011.1122Z",2015-09-03T00:00:00.000,Fee Payment,133,0,133,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.791071148000,-122.391144416999,"{'latitude': '37.791071148', 'longitude': '-122.391144416999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1990-001,(2) Predevelopment Feasibility,San Cristina,1000,Market,St,94102,0350,001,6,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,0,Rehabilitation,Rental,,2021-01-15T00:00:00.000,,,2021-01-15T00:00:00.000,2022-06-01T00:00:00.000,Community Housing Partnership,,Community Housing Partnership,Not Applicable,,,,,58,58,0,100,58,0,0,0,0,0,0,0,0,,58,0,0,58,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,37.782043701000,-122.410988655999,"{'latitude': '37.782043701', 'longitude': '-122.410988655999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-023,(3) Design with Entitlements Approved,262 7th St,262,7th,St,94103,3730,007,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2021-10-01T00:00:00.000,2023-11-25T00:00:00.000,"Reuben, Junius & Rose, LLP",,,2014.0334PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2014.0334PRJ'},,2019-10-03T00:00:00.000,On-site BMR Project,96,17,79,18.00,17,0,0,0,0,0,0,0,0,,17,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,4,0,0,0,0,37.776989000000,-122.408737000000,"{'latitude': '37.776989', 'longitude': '-122.408737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-036,(3) Design with Entitlements Approved,1052-1060 Folsom,1052,Folsom,St,94103,3731,087,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,2023-07-01T00:00:00.000,,,2020-12-18T00:00:00.000,2023-02-11T00:00:00.000,"Golden Properties, LLC",,,2016-004905PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-004905PRJ'},,2018-12-20T00:00:00.000,On-site BMR Project,59,14,45,24.00,0,0,6,8,0,0,0,0,0,,14,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,2,0,0,0,0,37.777700558000,-122.407200186999,"{'latitude': '37.777700558', 'longitude': '-122.407200186999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-114,(5) First Construction Document Issued,950 Market,950,Market,St,94102,0342,001,6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2017-12-14T00:00:00.000,2019-04-08T00:00:00.000,2019-04-08T00:00:00.000,2021-06-01T00:00:00.000,,,,2013.1049,{'url': 'http://propertymap.sfplanning.org/?search=2013.1049'},"2013.1049C,2013.1049E,2013.1049K,2013.1049MCM,2013.1049PCA,2013.1049U,2013.1049V,2013.1049X",2016-11-17T00:00:00.000,Land Dedication,242,0,242,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.783080835000,-122.409968809999,"{'latitude': '37.783080835', 'longitude': '-122.409968809999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-010,(5) First Construction Document Issued,1298 Howard,1298,Howard,St,94103,3728,"019, 086",6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2018-07-03T00:00:00.000,2019-08-20T00:00:00.000,2019-08-20T00:00:00.000,2021-10-13T00:00:00.000,"Reuben, Junius & Rose, LLP",,,2014.0011,{'url': 'http://propertymap.sfplanning.org/?search=2014.0011'},"2014.0011C,2014.0011E,2014.0011GEN-02,2014.0011PPA,2014.0011TDM,2014.0011U,2014.0011X",2017-03-02T00:00:00.000,On-site BMR Project,125,17,108,14.00,0,4,5,8,0,0,0,0,0,,17,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,37.775535143000,-122.413090590999,"{'latitude': '37.775535143', 'longitude': '-122.413090590999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-029,(5) First Construction Document Issued,200 Van Ness Ave,200,Van Ness,Ave,94102,0811,010,6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2018-08-31T00:00:00.000,2018-12-12T00:00:00.000,2018-12-12T00:00:00.000,2020-09-30T00:00:00.000,Conservatory of Music,,,2015-012994PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-012994PRJ'},"2015-012994CUA,2015-012994DNX,2015-012994DNX-02,2015-012994GPR,2015-012994LLA,2015-012994MAP,2015-012994MCM,2015-012994PCA,2015-012994PPA,2015-012994SHD,2015-012994TDM,2015-012994VAR",2018-02-08T00:00:00.000,Exempt Project (Student Housing/DA),113,0,113,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.777610219000,-122.419339738999,"{'latitude': '37.777610219', 'longitude': '-122.419339738999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-039,(5) First Construction Document Issued,1068 Mission,1064-1068,Mission,St,94103,3703,"040, 084",6,South of Market,South of Market,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2020-03-16T00:00:00.000,2019-06-05T00:00:00.000,2020-02-13T00:00:00.000,2020-02-13T00:00:00.000,2022-01-20T00:00:00.000,Mercy Housing California,Episcopal Community Services,"1064 Mission, L.P.",2018-010889PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2018-010889PRJ'},,2018-08-30T00:00:00.000,,258,256,2,99.00,0,256,0,0,0,0,0,0,2,1bd,153,103,0,153,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,37.780494770000,-122.410387203999,"{'latitude': '37.78049477', 'longitude': '-122.410387203999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-010,(5) First Construction Document Issued,2238-2254 Market,2238,Market,St,94114,3560,"005, 006, 007, 008, 025, 026",8,Castro/Upper Market,Castro/Upper Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2017-12-08T00:00:00.000,2018-12-03T00:00:00.000,2018-12-03T00:00:00.000,2021-01-26T00:00:00.000,Prado Group,,,2014.1510,{'url': 'http://propertymap.sfplanning.org/?search=2014.1510'},"2014.1510CND,2014.1510CUA,2014.1510ENV,2014.1510SHD,2014.1510SUB,2014.1510U",2016-02-11T00:00:00.000,"On-site BMR Project, Fee Payment",45,5,40,11.00,0,2,1,2,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,37.765461710000,-122.432266983999,"{'latitude': '37.76546171', 'longitude': '-122.432266983999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-039,(6) Complete,El Dorado,150,9th,St,94103,3509,007,6,South of Market,South of Market,MOHCD,Multifamily Rental Program,0,Rehabilitation,Rental,,2019-07-01T00:00:00.000,,,2019-07-01T00:00:00.000,2020-12-30T00:00:00.000,Conard House,,Conard House Development Corp,Not Applicable,,,,,57,57,0,100,57,0,0,0,0,0,0,0,0,,57,0,0,10,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,37.775369570000,-122.414112965999,"{'latitude': '37.77536957', 'longitude': '-122.414112965999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-026,(2) Predevelopment Feasibility,566 Natoma,566,Natoma,St,94103,3726,073,6,South of Market,South of Market,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2020-06-15T00:00:00.000,,,,,,Mission Economic Development Agency,,"MEDA Small Properties, LLC",Not Yet Available,,,,,5,5,0,100,0,0,5,0,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,37.779110000000,-122.409320000000,"{'latitude': '37.77911', 'longitude': '-122.40932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-133,(1) Preliminary Phase,Transbay Block 4 (Podium),0,Address not yet assigned,,94105,0,0,6,Financial District/South Beach,Financial District,OCII,OCII Inclusionary Rental Program,Transbay,New Construction,Rental,,2021-05-01T00:00:00.000,,,2021-05-01T00:00:00.000,2024-05-01T00:00:00.000,1899-12-31T00:00:00.000,,,Not Applicable,,,,,192,192,0,100,0,0,0,0,0,0,0,0,0,,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,37.790008674000,-122.393507961999,"{'latitude': '37.790008674', 'longitude': '-122.393507961999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2013-052,(5) First Construction Document Issued,88 Broadway Family,88,Broadway,,94111,0140,007,3,Financial District/South Beach,North Beach,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2019-06-17T00:00:00.000,,,2019-06-17T00:00:00.000,2021-04-02T00:00:00.000,BRIDGE Housing Corporation,John Stewart Company,88 Broadway Family LP,2016-007850PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-007850PRJ'},"2016-007850COA,2016-007850CUA,2016-007850ENV,2016-007850GPR,2016-007850PPA,2016-007850PRV,2016-007850SHD",2018-05-03T00:00:00.000,,125,124,1,99.00,0,16,37,47,24,0,0,14,1,2bd,124,0,0,0,0,0,31,0,5,0,44,0,54,11,0,5,0,0,5,0,0,0,37.799260128000,-122.399617948999,"{'latitude': '37.799260128', 'longitude': '-122.399617948999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-013,(1) Preliminary Phase,Kelsey Civic Center,240,Van Ness,St,94102,0811,019,6,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2022-04-01T00:00:00.000,,,2022-04-01T00:00:00.000,2024-04-01T00:00:00.000,Mercy Housing California,The Kelsey,,Not Yet Available,,,,,109,107,2,98.00,0,77,0,30,0,0,0,0,2,2bd,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,37.778000000000,-122.419440000000,"{'latitude': '37.778', 'longitude': '-122.41944', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2013-064,(3) Design with Entitlements Approved,2293 Powell,2293,Powell,St,94133,0041,154,3,North Beach,North Beach,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2017-12-07T00:00:00.000,2020-01-31T00:00:00.000,Cynthia Wong,,,2013.0341,{'url': 'http://propertymap.sfplanning.org/?search=2013.0341'},"2013.0341CND,2013.0341E,2013.0341U,2013.0341VAR",2015-12-09T00:00:00.000,On-site BMR Project,17,2,15,12.00,0,0,1,1,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,37.805612259000,-122.412238957999,"{'latitude': '37.805612259', 'longitude': '-122.412238957999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-091,(1) Preliminary Phase,"HPSY I, Block 48 (OCII 1)",755,La Salle,Ave,94124,4591D,"123, 133, 134, 135",10,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,HP Shipyard Phase 1,New Construction,Rental,,2023-12-31T00:00:00.000,,,2023-12-31T00:00:00.000,2025-06-23T00:00:00.000,Developer not yet selected,,Developer not yet selected,Not Applicable,,,,,18,18,0,100,0,0,0,0,0,0,0,0,0,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,37.727821721000,-122.374357145999,"{'latitude': '37.727821721', 'longitude': '-122.374357145999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-028,(4) Site Work Permit Issued,921 Howard St,921,Howard,St,94103,3732,100,6,South of Market,South of Market,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2021-04-01T00:00:00.000,2020-12-22T00:00:00.000,,2021-04-01T00:00:00.000,2023-03-30T00:00:00.000,Tenderloin Neighborhood Development Corporation,,Tenderloin Neighborhood Development Corporation,2020-002079PRV,{'url': 'http://propertymap.sfplanning.org/?search=2020-002079PRV'},,,,203,201,2,99.00,0,15,82,88,16,0,0,0,2,1bd,201,0,0,0,0,0,0,0,0,0,0,0,102,0,48,0,0,0,51,0,0,0,37.780780000000,-122.405110000000,"{'latitude': '37.78078', 'longitude': '-122.40511', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-013,(3) Design with Entitlements Approved,1567 California,1567,California,St,94109,0645,015,3,Nob Hill,Nob Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,,,2018-02-23T00:00:00.000,2020-04-18T00:00:00.000,"1567 California, LLC",,,2014.0284,{'url': 'http://propertymap.sfplanning.org/?search=2014.0284'},"2014.0284CUA,2014.0284E,2014.0284U,2014.0284VAR,2015-004221ENF",2016-02-25T00:00:00.000,On-site BMR Project,63,8,55,13.00,0,1,4,2,1,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,37.790319069000,-122.420276941999,"{'latitude': '37.790319069', 'longitude': '-122.420276941999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-051,(6) Complete,The Sutherland,915,Minna,St,94103,3510,058,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2017-11-08T00:00:00.000,2018-03-16T00:00:00.000,2018-03-16T00:00:00.000,2020-01-30T00:00:00.000,"Alta Investors, LP",,,2015-002600PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-002600PRJ'},"2015-002600ENV,2015-002600ENX,2015-002600PPA,2015-002600SHD",2016-05-12T00:00:00.000,On-site BMR Project,49,7,42,14.00,0,2,2,2,1,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,37.774233388000,-122.415805839999,"{'latitude': '37.774233388', 'longitude': '-122.415805839999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-126,(3) Design with Entitlements Approved,CPN-Block 2a,,Address not yet assigned,,94124,0,0,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 2,New Construction,Ownership,,2023-07-01T00:00:00.000,,,2023-07-01T00:00:00.000,2024-12-22T00:00:00.000,,,,Not Applicable,,,2018-03-20T00:00:00.000,,130,7,123,5.00,0,0,0,0,0,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,37.715421496000,-122.385627685999,"{'latitude': '37.715421496', 'longitude': '-122.385627685999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
